Name,Age,Occupation,City,State,Region,ElimWeek,Season ID,Lead Name,Lead Age,Lead Occupation,Lead City,Lead State,Lead Region,Age Difference,Same Region,target
Hayley,28.0,Retail Manager,Lake Oswego,Oregon,West,4.0,Bachelor 2,Aaron Buerge,28.0,Banker,Butler,Missouri,Midwest,0.0,0,0
Heather Crawford,30.0,Flight Attendant,Dallas,Texas,South,4.0,Bachelor 2,Aaron Buerge,28.0,Banker,Butler,Missouri,Midwest,2.0,0,0
Christi,23.0,Assistant Financial Advisor,Boise,Idaho,West,3.0,Bachelor 2,Aaron Buerge,28.0,Banker,Butler,Missouri,Midwest,5.0,0,0
Heather,24.0,Marriage Therapy Trainee,Walnut Creek,California,West,3.0,Bachelor 2,Aaron Buerge,28.0,Banker,Butler,Missouri,Midwest,4.0,0,0
Kyla,22.0,Airline Supervisor,Midvale,Utah,West,3.0,Bachelor 2,Aaron Buerge,28.0,Banker,Butler,Missouri,Midwest,6.0,0,0
Shannon,26.0,Graphic Artist,Long Island,New York,Northeast,3.0,Bachelor 2,Aaron Buerge,28.0,Banker,Butler,Missouri,Midwest,2.0,0,0
Dana,24.0,Radio Sales,Beverly Hills,California,West,2.0,Bachelor 2,Aaron Buerge,28.0,Banker,Butler,Missouri,Midwest,4.0,0,0
Erin,25.0,Publications Quality Control,Westchester,Pennsylvania,Northeast,2.0,Bachelor 2,Aaron Buerge,28.0,Banker,Butler,Missouri,Midwest,3.0,0,0
Suzanne,33.0,Flight Attendant,Redondo Beach,California,West,2.0,Bachelor 2,Aaron Buerge,28.0,Banker,Butler,Missouri,Midwest,5.0,0,0
Frances,30.0,Strategic Planning Analyst,San Francisco,California,West,2.0,Bachelor 2,Aaron Buerge,28.0,Banker,Butler,Missouri,Midwest,2.0,0,0
Anindita,27.0,Attorney,New York,New York,Northeast,2.0,Bachelor 2,Aaron Buerge,28.0,Banker,Butler,Missouri,Midwest,1.0,0,0
Amber,26.0,Psychologist,Chapel Hill,North Carolina,South,1.0,Bachelor 2,Aaron Buerge,28.0,Banker,Butler,Missouri,Midwest,2.0,0,0
Camille,29.0,Actress,Los Angeles,California,West,1.0,Bachelor 2,Aaron Buerge,28.0,Banker,Butler,Missouri,Midwest,1.0,0,0
Cari,29.0,3rd Grade Teacher,Granite City,Illinois,Midwest,1.0,Bachelor 2,Aaron Buerge,28.0,Banker,Butler,Missouri,Midwest,1.0,1,0
Christy,24.0,Radiological Technologist,Avondale,Arizona,West,1.0,Bachelor 2,Aaron Buerge,28.0,Banker,Butler,Missouri,Midwest,4.0,0,0
Erin,24.0,Interior Designer,Houston,Texas,South,1.0,Bachelor 2,Aaron Buerge,28.0,Banker,Butler,Missouri,Midwest,4.0,0,0
Fatima,22.0,College Student,Long Beach,California,West,1.0,Bachelor 2,Aaron Buerge,28.0,Banker,Butler,Missouri,Midwest,6.0,0,0
Liangy,30.0,Paralegal,Coral Gables,Florida,South,1.0,Bachelor 2,Aaron Buerge,28.0,Banker,Butler,Missouri,Midwest,2.0,0,0
Lori,26.0,Former NBA Cheerleader,Dallas,Texas,South,1.0,Bachelor 2,Aaron Buerge,28.0,Banker,Butler,Missouri,Midwest,2.0,0,0
Merrilee,28.0,1st Grade Teacher,Forked River,New Jersey,Northeast,1.0,Bachelor 2,Aaron Buerge,28.0,Banker,Butler,Missouri,Midwest,0.0,0,0
Suzi,28.0,Communications Specialist,Richmond,Virginia,South,1.0,Bachelor 2,Aaron Buerge,28.0,Banker,Butler,Missouri,Midwest,0.0,0,0
Jessica Bowlin,22.0,Student,Huntington Beach,California,West,,Bachelor 5,Jesse Palmer,34.0,Professional Football Player,Toronto,Ontario,Other,12.0,0,1
Tara Huckeby,23.0,General contractor,Shawnee,Oklahoma,South,7.0,Bachelor 5,Jesse Palmer,34.0,Professional Football Player,Toronto,Ontario,Other,11.0,0,0
Mandy Jaye Jeffreys,26.0,Designer for an architect firm,Midland,Texas,South,6.0,Bachelor 5,Jesse Palmer,34.0,Professional Football Player,Toronto,Ontario,Other,8.0,0,0
Trish Schneider,28.0,Model,Atlanta,Georgia,South,5.0,Bachelor 5,Jesse Palmer,34.0,Professional Football Player,Toronto,Ontario,Other,6.0,0,0
Suzie Williams,23.0,Prosthetic technician,Ann Arbor,Michigan,Midwest,4.0,Bachelor 5,Jesse Palmer,34.0,Professional Football Player,Toronto,Ontario,Other,11.0,0,0
Karen Lindsay,28.0,Pharmaceutical sales,Pleasant Grove,Utah,West,4.0,Bachelor 5,Jesse Palmer,34.0,Professional Football Player,Toronto,Ontario,Other,6.0,0,0
Jessica Holcomb,25.0,Attorney,Pearsall,Texas,South,3.0,Bachelor 5,Jesse Palmer,34.0,Professional Football Player,Toronto,Ontario,Other,9.0,0,0
Julie Durda,24.0,Professional Cheerleader,Sacramento,California,West,3.0,Bachelor 5,Jesse Palmer,34.0,Professional Football Player,Toronto,Ontario,Other,10.0,0,0
Jenny De Schiralli,26.0,Swim instructor/nanny/personal trainer,Carrboro,North Carolina,South,3.0,Bachelor 5,Jesse Palmer,34.0,Professional Football Player,Toronto,Ontario,Other,8.0,0,0
Katie Gehart,22.0,LASIK Eye and Skin Center manager,Scottsdale,Arizona,West,3.0,Bachelor 5,Jesse Palmer,34.0,Professional Football Player,Toronto,Ontario,Other,12.0,0,0
Jean-Marie Callahan,26.0,Hair stylist,Gibson,North Carolina,South,2.0,Bachelor 5,Jesse Palmer,34.0,Professional Football Player,Toronto,Ontario,Other,8.0,0,0
Debbie Merkett,27.0,Massage therapist/bartender,Pinetops,North Carolina,South,2.0,Bachelor 5,Jesse Palmer,34.0,Professional Football Player,Toronto,Ontario,Other,7.0,0,0
Anne-Catherine Labbé,27.0,Model/make-up artist,Quebec City,Quebec,Other,2.0,Bachelor 5,Jesse Palmer,34.0,Professional Football Player,Toronto,Ontario,Other,7.0,1,0
Amber LaRoux,27.0,Consultant,Sunriver,Oregon,West,2.0,Bachelor 5,Jesse Palmer,34.0,Professional Football Player,Toronto,Ontario,Other,7.0,0,0
Mandy Clemens,25.0,Professional soccer player,San Diego,California,West,2.0,Bachelor 5,Jesse Palmer,34.0,Professional Football Player,Toronto,Ontario,Other,9.0,0,0
Kristy Romero,25.0,Student,Dearborn,Michigan,Midwest,2.0,Bachelor 5,Jesse Palmer,34.0,Professional Football Player,Toronto,Ontario,Other,9.0,0,0
Celeste Creel,24.0,Model/executive assistant,Ithaca,New York,Northeast,2.0,Bachelor 5,Jesse Palmer,34.0,Professional Football Player,Toronto,Ontario,Other,10.0,0,0
Jenny Matthews,24.0,Retail manager,Canton,Michigan,Midwest,2.0,Bachelor 5,Jesse Palmer,34.0,Professional Football Player,Toronto,Ontario,Other,10.0,0,0
Dolores Farburg,26.0,Account manager,Madison,New Jersey,Northeast,1.0,Bachelor 5,Jesse Palmer,34.0,Professional Football Player,Toronto,Ontario,Other,8.0,0,0
Francine Jones,25.0,Retail manager,Houston,Texas,South,1.0,Bachelor 5,Jesse Palmer,34.0,Professional Football Player,Toronto,Ontario,Other,9.0,0,0
DeShaun Warner,25.0,Account manager/sales,Phillipsburg,New Jersey,Northeast,1.0,Bachelor 5,Jesse Palmer,34.0,Professional Football Player,Toronto,Ontario,Other,9.0,0,0
Jessica Kyron,21.0,Student,Cincinnati,Ohio,Midwest,1.0,Bachelor 5,Jesse Palmer,34.0,Professional Football Player,Toronto,Ontario,Other,13.0,0,0
Holly Reeder,26.0,Bank representative,Tulsa,Oklahoma,South,1.0,Bachelor 5,Jesse Palmer,34.0,Professional Football Player,Toronto,Ontario,Other,8.0,0,0
Rachel Clementi,26.0,Fashion public relations manager,Buffalo,New York,Northeast,1.0,Bachelor 5,Jesse Palmer,34.0,Professional Football Player,Toronto,Ontario,Other,8.0,0,0
Kristin Clearwater,25.0,Singer,Sausalito,California,West,1.0,Bachelor 5,Jesse Palmer,34.0,Professional Football Player,Toronto,Ontario,Other,9.0,0,0
Jennifer Wilson,24.0,Teacher,Pembroke Pines,Florida,South,,Bachelor 9,Lorenzo Borghese,34.0,Cosmetics Entrepreneur,Milan,Italy,Other,10.0,0,1
Sadie Murray,23.0,Publicist,Carlsbad,California,West,7.0,Bachelor 9,Lorenzo Borghese,34.0,Cosmetics Entrepreneur,Milan,Italy,Other,11.0,0,0
Lisa Blank,25.0,Marketing manager,Portland,Oregon,West,6.0,Bachelor 9,Lorenzo Borghese,34.0,Cosmetics Entrepreneur,Milan,Italy,Other,9.0,0,0
Agnese Polliza,24.0,Student,Venice,Italy,Other,5.0,Bachelor 9,Lorenzo Borghese,34.0,Cosmetics Entrepreneur,Milan,Italy,Other,10.0,1,0
Jeanette Pawula,23.0,Teacher,Bloomingdale,Illinois,Midwest,4.0,Bachelor 9,Lorenzo Borghese,34.0,Cosmetics Entrepreneur,Milan,Italy,Other,11.0,0,0
Desiree Valentin,22.0,Realtor,Salt Lake City,Utah,West,4.0,Bachelor 9,Lorenzo Borghese,34.0,Cosmetics Entrepreneur,Milan,Italy,Other,12.0,0,0
Jami Matzke,27.0,Event planner,Galveston,Texas,South,3.0,Bachelor 9,Lorenzo Borghese,34.0,Cosmetics Entrepreneur,Milan,Italy,Other,7.0,0,0
Gina Clark,28.0,Ultrasound technician,Chicago,Illinois,Midwest,3.0,Bachelor 9,Lorenzo Borghese,34.0,Cosmetics Entrepreneur,Milan,Italy,Other,6.0,0,0
Erica Rose,23.0,Socialite,Houston,Texas,South,3.0,Bachelor 9,Lorenzo Borghese,34.0,Cosmetics Entrepreneur,Milan,Italy,Other,11.0,0,0
Sarah Schnare,30.0,Journalist,Nelson,British Columbia,Other,2.0,Bachelor 9,Lorenzo Borghese,34.0,Cosmetics Entrepreneur,Milan,Italy,Other,4.0,1,0
Kim Jackson,27.0,Interior designer,Newport Beach,California,West,2.0,Bachelor 9,Lorenzo Borghese,34.0,Cosmetics Entrepreneur,Milan,Italy,Other,7.0,0,0
Ellen DeMaio,30.0,Realtor,New Haven,Connecticut,Northeast,2.0,Bachelor 9,Lorenzo Borghese,34.0,Cosmetics Entrepreneur,Milan,Italy,Other,4.0,0,0
Tara Durr,24.0,Realtor,St. Augustine,Florida,South,1.0,Bachelor 9,Lorenzo Borghese,34.0,Cosmetics Entrepreneur,Milan,Italy,Other,10.0,0,0
Rosella Fratto,27.0,Make-up artist,Chicago,Illinois,Midwest,1.0,Bachelor 9,Lorenzo Borghese,34.0,Cosmetics Entrepreneur,Milan,Italy,Other,7.0,0,0
Rita Ghazal,29.0,Policy advisor,Richmond,Virginia,South,1.0,Bachelor 9,Lorenzo Borghese,34.0,Cosmetics Entrepreneur,Milan,Italy,Other,5.0,0,0
Renee Snell,30.0,Broadcast marketer,Baltimore,Maryland,South,1.0,Bachelor 9,Lorenzo Borghese,34.0,Cosmetics Entrepreneur,Milan,Italy,Other,4.0,0,0
Meri Barr,27.0,Attorney,Biloxi,Mississippi,South,1.0,Bachelor 9,Lorenzo Borghese,34.0,Cosmetics Entrepreneur,Milan,Italy,Other,7.0,0,0
Laura Morgan,29.0,Dolphin trainer,San Diego,California,West,1.0,Bachelor 9,Lorenzo Borghese,34.0,Cosmetics Entrepreneur,Milan,Italy,Other,5.0,0,0
Jessica Horner,25.0,Assistant buyer,Charlotte,North Carolina,South,1.0,Bachelor 9,Lorenzo Borghese,34.0,Cosmetics Entrepreneur,Milan,Italy,Other,9.0,0,0
Heather Sneed,34.0,Registered nurse,Aliquippa,Pennsylvania,Northeast,1.0,Bachelor 9,Lorenzo Borghese,34.0,Cosmetics Entrepreneur,Milan,Italy,Other,0.0,0,0
Elyse Hammer,27.0,Physician,New York,New York,Northeast,1.0,Bachelor 9,Lorenzo Borghese,34.0,Cosmetics Entrepreneur,Milan,Italy,Other,7.0,0,0
Claudia Gismondi,22.0,Restaurateur,Boca Raton,Florida,South,1.0,Bachelor 9,Lorenzo Borghese,34.0,Cosmetics Entrepreneur,Milan,Italy,Other,12.0,0,0
Carissa Ilburg,25.0,Attorney,Cattagraugus,New York,Northeast,1.0,Bachelor 9,Lorenzo Borghese,34.0,Cosmetics Entrepreneur,Milan,Italy,Other,9.0,0,0
Britt (Bowe) Newton,28.0,Beer chemist,Columbus,Ohio,Midwest,1.0,Bachelor 9,Lorenzo Borghese,34.0,Cosmetics Entrepreneur,Milan,Italy,Other,6.0,0,0
Andrea Shirley,28.0,Hotel concierge,Cincinnati,Ohio,Midwest,1.0,Bachelor 9,Lorenzo Borghese,34.0,Cosmetics Entrepreneur,Milan,Italy,Other,6.0,0,0
April Jacobs,23.0,Model,Chicago,Illinois,Midwest,1.0,Bachelor 9,Lorenzo Borghese,34.0,Cosmetics Entrepreneur,Milan,Italy,Other,11.0,0,0
Tessa Horst,26.0,Social Worker,San Francisco,California,West,,Bachelor 10,Andy Baldwin,30.0,Navy Lieutenant,Lancaster,Pennsylvania,Northeast,4.0,0,1
Bevin Nicole Powers,28.0,Assistant,Palo Alto,California,West,8.0,Bachelor 10,Andy Baldwin,30.0,Navy Lieutenant,Lancaster,Pennsylvania,Northeast,2.0,0,0
Danielle Imwalle,25.0,Graphic Designer,Bethel,Connecticut,Northeast,7.0,Bachelor 10,Andy Baldwin,30.0,Navy Lieutenant,Lancaster,Pennsylvania,Northeast,5.0,1,0
Amber Alchalabi,23.0,Teacher,Sugar Land,Texas,South,6.0,Bachelor 10,Andy Baldwin,30.0,Navy Lieutenant,Lancaster,Pennsylvania,Northeast,7.0,0,0
Stephanie Wilhite,23.0,Project Manager,Overland Park,Kansas,Midwest,5.0,Bachelor 10,Andy Baldwin,30.0,Navy Lieutenant,Lancaster,Pennsylvania,Northeast,7.0,0,0
Tina Wu,26.0,Medical student,Los Angeles,California,West,5.0,Bachelor 10,Andy Baldwin,30.0,Navy Lieutenant,Lancaster,Pennsylvania,Northeast,4.0,0,0
Kate Brockhouse,24.0,Boutique owner,Ravenel,South Carolina,South,4.0,Bachelor 10,Andy Baldwin,30.0,Navy Lieutenant,Lancaster,Pennsylvania,Northeast,6.0,0,0
Nicole Clary,26.0,Sales Manager,Charleston,South Carolina,South,4.0,Bachelor 10,Andy Baldwin,30.0,Navy Lieutenant,Lancaster,Pennsylvania,Northeast,4.0,0,0
Stephanie Tipper,27.0,Organ donor coordinator,Folly Beach,South Carolina,South,4.0,Bachelor 10,Andy Baldwin,30.0,Navy Lieutenant,Lancaster,Pennsylvania,Northeast,3.0,0,0
Amanda Hackney,26.0,Financial analyst,Dallas,Texas,South,3.0,Bachelor 10,Andy Baldwin,30.0,Navy Lieutenant,Lancaster,Pennsylvania,Northeast,4.0,0,0
Erin Parker,24.0,Financial analyst,Logansport,Louisiana,South,3.0,Bachelor 10,Andy Baldwin,30.0,Navy Lieutenant,Lancaster,Pennsylvania,Northeast,6.0,0,0
Peyton Wright,24.0,Sorority recruiter,La Vergne,Tennessee,South,3.0,Bachelor 10,Andy Baldwin,30.0,Navy Lieutenant,Lancaster,Pennsylvania,Northeast,6.0,0,0
Alexis Young,26.0,Attorney,Southlake,Texas,South,2.0,Bachelor 10,Andy Baldwin,30.0,Navy Lieutenant,Lancaster,Pennsylvania,Northeast,4.0,0,0
Susan Anderson,23.0,Boutique manager,The Woodlands,Texas,South,2.0,Bachelor 10,Andy Baldwin,30.0,Navy Lieutenant,Lancaster,Pennsylvania,Northeast,7.0,0,0
Tiffany Warren,28.0,Medical equipment sales rep,Boston,Massachusetts,Northeast,2.0,Bachelor 10,Andy Baldwin,30.0,Navy Lieutenant,Lancaster,Pennsylvania,Northeast,2.0,1,0
Blakeney Rowe,29.0,Radio sales,Birmingham,Alabama,South,1.0,Bachelor 10,Andy Baldwin,30.0,Navy Lieutenant,Lancaster,Pennsylvania,Northeast,1.0,0,0
Candace DeCost,23.0,Waitress,Hilton Head Island,South Carolina,South,1.0,Bachelor 10,Andy Baldwin,30.0,Navy Lieutenant,Lancaster,Pennsylvania,Northeast,7.0,0,0
Catherine Warren,23.0,Former Miss Illinois,Lake Forest,Illinois,Midwest,1.0,Bachelor 10,Andy Baldwin,30.0,Navy Lieutenant,Lancaster,Pennsylvania,Northeast,7.0,0,0
Danielle Vallis,26.0,Attorney,Bronx,New York,Northeast,1.0,Bachelor 10,Andy Baldwin,30.0,Navy Lieutenant,Lancaster,Pennsylvania,Northeast,4.0,1,0
Jackie Topelli,23.0,Executive coordinator,Minneapolis,Minnesota,Midwest,1.0,Bachelor 10,Andy Baldwin,30.0,Navy Lieutenant,Lancaster,Pennsylvania,Northeast,7.0,0,0
Jeanette Alvarez,27.0,Health care manager,Tampa,Florida,South,1.0,Bachelor 10,Andy Baldwin,30.0,Navy Lieutenant,Lancaster,Pennsylvania,Northeast,3.0,0,0
Jessica Devallo,32.0,Hedge fund analyst,New York,New York,Northeast,1.0,Bachelor 10,Andy Baldwin,30.0,Navy Lieutenant,Lancaster,Pennsylvania,Northeast,2.0,1,0
Linda Malek,33.0,Attorney,Cuyahoga Falls,Ohio,Midwest,1.0,Bachelor 10,Andy Baldwin,30.0,Navy Lieutenant,Lancaster,Pennsylvania,Northeast,3.0,0,0
Lindsay Smith,22.0,Student,Lawrence,Kansas,Midwest,1.0,Bachelor 10,Andy Baldwin,30.0,Navy Lieutenant,Lancaster,Pennsylvania,Northeast,8.0,0,0
Tiffany Forester,27.0,Real estate sales/development,St. Louis Park,Minnesota,Midwest,1.0,Bachelor 10,Andy Baldwin,30.0,Navy Lieutenant,Lancaster,Pennsylvania,Northeast,3.0,0,0
Deanna Pappas,25.0,Realtor,Newnan,Georgia,South,8.0,Bachelor 11,Brad Womack,35.0,Entrepreneur,Austin,Texas,South,10.0,1,0
Jenni Croft,27.0,Phoenix Suns Cheerleader,Wichita,Kansas,Midwest,8.0,Bachelor 11,Brad Womack,35.0,Entrepreneur,Austin,Texas,South,8.0,0,0
Bettina Bell,27.0,Realtor,Washington,D.C.,Other,7.0,Bachelor 11,Brad Womack,35.0,Entrepreneur,Austin,Texas,South,8.0,0,0
Sheena Stewart,23.0,Internet marketing executive,Walnut Creek,California,West,6.0,Bachelor 11,Brad Womack,35.0,Entrepreneur,Austin,Texas,South,12.0,0,0
Hillary Reisinger,27.0,Registered nurse,Philadelphia,Pennsylvania,Northeast,5.0,Bachelor 11,Brad Womack,35.0,Entrepreneur,Austin,Texas,South,8.0,0,0
Kristy Katzmann,29.0,Acupuncturist,Gurnee,Illinois,Midwest,5.0,Bachelor 11,Brad Womack,35.0,Entrepreneur,Austin,Texas,South,6.0,0,0
"Estefania ""Stephy"" Kootz",26.0,Executive assistant,Atlanta,Georgia,South,4.0,Bachelor 11,Brad Womack,35.0,Entrepreneur,Austin,Texas,South,9.0,1,0
Jade Beazley,24.0,Boutique sales worker,Nashville,Tennessee,South,4.0,Bachelor 11,Brad Womack,35.0,Entrepreneur,Austin,Texas,South,11.0,1,0
McCarten Delaney,26.0,Account manager,Lemon Grove,California,West,4.0,Bachelor 11,Brad Womack,35.0,Entrepreneur,Austin,Texas,South,9.0,0,0
Lindsey Hawkins,25.0,Model,Livonia,Michigan,Midwest,3.0,Bachelor 11,Brad Womack,35.0,Entrepreneur,Austin,Texas,South,10.0,0,0
Sarah Newlon,23.0,Bar manager,O'Fallon,Illinois,Midwest,3.0,Bachelor 11,Brad Womack,35.0,Entrepreneur,Austin,Texas,South,12.0,0,0
Solisa Shoop,25.0,Esthetician,Georgetown,Texas,South,3.0,Bachelor 11,Brad Womack,35.0,Entrepreneur,Austin,Texas,South,10.0,1,0
Michele Leavy,30.0,Realtor,South Brunswick,New Jersey,Northeast,2.0,Bachelor 11,Brad Womack,35.0,Entrepreneur,Austin,Texas,South,5.0,0,0
Mallory Simons,24.0,Nanny,Honolulu,Hawaii,West,2.0,Bachelor 11,Brad Womack,35.0,Entrepreneur,Austin,Texas,South,11.0,0,0
Erin Gardner,25.0,Publishing sales executive,Tampa,Florida,South,2.0,Bachelor 11,Brad Womack,35.0,Entrepreneur,Austin,Texas,South,10.0,1,0
Jessica Kiss,27.0,News anchor,Lady Lake,Florida,South,1.0,Bachelor 11,Brad Womack,35.0,Entrepreneur,Austin,Texas,South,8.0,1,0
Juli Gilliam,24.0,Law student,Chicago,Illinois,Midwest,1.0,Bachelor 11,Brad Womack,35.0,Entrepreneur,Austin,Texas,South,11.0,0,0
Kim Orville,31.0,Realtor,Woodbridge,Connecticut,Northeast,1.0,Bachelor 11,Brad Womack,35.0,Entrepreneur,Austin,Texas,South,4.0,0,0
Lori Langley,33.0,Biology teacher,Annapolis,Maryland,South,1.0,Bachelor 11,Brad Womack,35.0,Entrepreneur,Austin,Texas,South,2.0,1,0
Melissa Buschel,28.0,Event planner,Westchester,New York,Northeast,1.0,Bachelor 11,Brad Womack,35.0,Entrepreneur,Austin,Texas,South,7.0,0,0
Morgan Becker,24.0,Graduate student,Tempe,Arizona,West,1.0,Bachelor 11,Brad Womack,35.0,Entrepreneur,Austin,Texas,South,11.0,0,0
Natalie Velasco,25.0,Law student,Duncanville,Texas,South,1.0,Bachelor 11,Brad Womack,35.0,Entrepreneur,Austin,Texas,South,10.0,1,0
Regina Doringa,31.0,Account representative,San Diego,California,West,1.0,Bachelor 11,Brad Womack,35.0,Entrepreneur,Austin,Texas,South,4.0,0,0
Tauni Nessler ,31.0,Emergency room nurse,St. Louis Park,Minnesota,Midwest,1.0,Bachelor 11,Brad Womack,35.0,Entrepreneur,Austin,Texas,South,4.0,0,0
Susan Stein,35.0,Project analyst,St. Charles,Illinois,Midwest,1.0,Bachelor 11,Brad Womack,35.0,Entrepreneur,Austin,Texas,South,0.0,0,0
Shayne Lamas,22.0,Actress,Malibu,California,West,,Bachelor 12,Matt Grant,27.0,Global Financier,London,England,Other,5.0,0,1
Chelsea Wanstrath,25.0,Pharmaceutical sales rep.,Durango,Colorado,West,8.0,Bachelor 12,Matt Grant,27.0,Global Financier,London,England,Other,2.0,0,0
Amanda Rantuccio,27.0,Account Executive,Niceville,Florida,South,7.0,Bachelor 12,Matt Grant,27.0,Global Financier,London,England,Other,0.0,0,0
Noelle Drake,26.0,Photographer,Loveland,Colorado,West,6.0,Bachelor 12,Matt Grant,27.0,Global Financier,London,England,Other,1.0,0,0
Marshana Ritchie,27.0,Fashion designer,Brooklyn,New York,Northeast,5.0,Bachelor 12,Matt Grant,27.0,Global Financier,London,England,Other,0.0,0,0
Robin Canfield,22.0,Advertising coordinator,Holland,Michigan,Midwest,5.0,Bachelor 12,Matt Grant,27.0,Global Financier,London,England,Other,5.0,0,0
Ashlee Williss,22.0,Singer-songwriter,Jacksonville Beach,Florida,South,4.0,Bachelor 12,Matt Grant,27.0,Global Financier,London,England,Other,5.0,0,0
Kelly Duncan,25.0,Medical sales rep.,Hollywood,California,West,4.0,Bachelor 12,Matt Grant,27.0,Global Financier,London,England,Other,2.0,0,0
Holly Durst,24.0,Children's book author,Suffield,Ohio,Midwest,4.0,Bachelor 12,Matt Grant,27.0,Global Financier,London,England,Other,3.0,0,0
